"participant_id","condition","phase","trialnum","blocknum","dot_difference","rt","response","target_left","correct","confidence"
"65456ebc819cdd5600552571",0,"Test",27,2,57,"585","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",28,2,63,"804","w","false",0,2
"65456ebc819cdd5600552571",0,"Test",29,2,70,"577","e","true",0,6
"65456ebc819cdd5600552571",0,"Test",30,2,77,"950","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",31,2,77,"659","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",32,2,70,"854","w","true",1,4
"65456ebc819cdd5600552571",0,"Test",33,2,70,"628","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",34,2,63,"1160","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",35,2,63,"4269","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",36,2,70,"640","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",37,2,70,"1903","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",38,2,77,"746","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",39,2,86,"1083","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",40,2,86,"909","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",41,2,77,"2033","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",42,2,77,"635","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",43,2,70,"725","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",44,2,70,"469","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",45,2,63,"444","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",46,2,63,"505","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",47,2,57,"738","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",48,2,57,"351","e","false",1,3
"65456ebc819cdd5600552571",0,"Test",49,2,52,"159744","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",50,2,52,"778","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",51,2,47,"1384","e","false",1,4
"65456ebc819cdd5600552571",0,"Test",52,2,47,"719","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",53,2,43,"625","e","false",1,6
"65456ebc819cdd5600552571",0,"Test",54,2,43,"727","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",55,2,38,"630","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",56,2,43,"2489","w","false",0,2
"65456ebc819cdd5600552571",0,"Test",57,2,47,"628","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",58,2,52,"645","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",59,2,52,"622","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",60,2,47,"871","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",61,2,47,"674","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",62,2,52,"31227","w","false",0,3
"65456ebc819cdd5600552571",0,"Test",63,2,57,"979","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",64,2,57,"835","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",65,2,52,"964","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",66,2,52,"653","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",67,2,47,"737","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",68,2,47,"672","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",69,3,43,"589","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",70,3,43,"526","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",71,3,38,"709","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",72,3,43,"837","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",73,3,43,"762","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",74,3,47,"506","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",75,3,47,"712","w","false",0,5
"65456ebc819cdd5600552571",0,"Test",76,3,52,"640","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",77,3,52,"471","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",78,3,47,"502","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",79,3,47,"3271","e","false",1,2
"65456ebc819cdd5600552571",0,"Test",80,3,43,"525","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",81,3,43,"1301","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",82,3,47,"603","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",83,3,47,"454","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",84,3,43,"679","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",85,3,43,"1092","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",86,3,38,"570","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",87,3,38,"882","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",88,3,35,"1555","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",89,3,35,"1793","e","false",1,3
"65456ebc819cdd5600552571",0,"Test",90,3,32,"501","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",91,3,32,"504","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",92,3,29,"377","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",93,3,29,"704","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",94,3,26,"474","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",95,3,26,"544","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",96,3,23,"631","e","true",0,5
"65456ebc819cdd5600552571",0,"Test",97,3,26,"2087","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",98,3,29,"985","e","false",1,3
"65456ebc819cdd5600552571",0,"Test",99,3,29,"537","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",100,3,26,"499","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",101,3,26,"1769","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",102,3,23,"491","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",103,3,23,"1386","e","true",0,3
"65456ebc819cdd5600552571",0,"Test",104,3,26,"1148","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",105,3,26,"727","w","true",1,5
"65456ebc819cdd5600552571",0,"Test",106,3,23,"580","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",107,3,23,"828","w","true",1,3
"65456ebc819cdd5600552571",0,"Test",108,3,21,"349","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",109,3,21,"538","e","false",1,5
"65456ebc819cdd5600552571",0,"Test",110,3,19,"455","e","true",0,5
"5fec594488f057dbd3bdec07",0,"Test",27,2,63,"480","w","true",1,3
"5fec594488f057dbd3bdec07",0,"Test",28,2,63,"513","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",29,2,57,"378","w","true",1,3
"5fec594488f057dbd3bdec07",0,"Test",30,2,57,"797","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",31,2,52,"535","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",32,2,52,"379","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",33,2,47,"876","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",34,2,47,"696","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",35,2,43,"690","w","false",0,4
"5fec594488f057dbd3bdec07",0,"Test",36,2,47,"962","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",37,2,47,"706","e","true",0,4
"5fec594488f057dbd3bdec07",0,"Test",38,2,52,"570","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",39,2,52,"609","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",40,2,47,"691","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",41,2,47,"718","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",42,2,43,"645","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",43,2,43,"535","w","true",1,6
"5fec594488f057dbd3bdec07",0,"Test",44,2,38,"478","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",45,2,38,"869","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",46,2,35,"592","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",47,2,35,"649","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",48,2,32,"516","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",49,2,32,"1346","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",50,2,29,"591","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",51,2,29,"768","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",52,2,26,"831","e","true",0,2
"5fec594488f057dbd3bdec07",0,"Test",53,2,29,"526","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",54,2,29,"810","w","false",0,4
"5fec594488f057dbd3bdec07",0,"Test",55,2,32,"518","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",56,2,32,"540","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",57,2,29,"852","e","false",1,4
"5fec594488f057dbd3bdec07",0,"Test",58,2,29,"747","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",59,2,26,"813","e","false",1,2
"5fec594488f057dbd3bdec07",0,"Test",60,2,26,"973","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",61,2,23,"1395","w","true",1,1
"5fec594488f057dbd3bdec07",0,"Test",62,2,23,"583","e","false",1,4
"5fec594488f057dbd3bdec07",0,"Test",63,2,21,"1096","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",64,2,21,"807","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",65,2,19,"961","w","true",1,1
"5fec594488f057dbd3bdec07",0,"Test",66,2,19,"407","e","false",1,4
"5fec594488f057dbd3bdec07",0,"Test",67,2,17,"486","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",68,2,17,"703","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",69,3,16,"445","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",70,3,16,"1398","e","true",0,1
"5fec594488f057dbd3bdec07",0,"Test",71,3,17,"951","w","true",1,1
"5fec594488f057dbd3bdec07",0,"Test",72,3,17,"1245","w","false",0,3
"5fec594488f057dbd3bdec07",0,"Test",73,3,19,"659","w","false",0,4
"5fec594488f057dbd3bdec07",0,"Test",74,3,21,"417","e","true",0,5
"5fec594488f057dbd3bdec07",0,"Test",75,3,23,"477","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",76,3,23,"747","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",77,3,21,"565","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",78,3,21,"503","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",79,3,19,"482","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",80,3,19,"475","e","true",0,3
"5fec594488f057dbd3bdec07",0,"Test",81,3,21,"838","w","false",0,1
"5fec594488f057dbd3bdec07",0,"Test",82,3,23,"409","e","true",0,1
"5fec594488f057dbd3bdec07",0,"Test",83,3,26,"747","e","false",1,4
"5fec594488f057dbd3bdec07",0,"Test",84,3,26,"858","e","true",0,4
"5fec594488f057dbd3bdec07",0,"Test",85,3,29,"515","e","false",1,2
"5fec594488f057dbd3bdec07",0,"Test",86,3,29,"612","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",87,3,26,"604","w","true",1,2
"5fec594488f057dbd3bdec07",0,"Test",88,3,26,"1887","w","false",0,3
"5fec594488f057dbd3bdec07",0,"Test",89,3,29,"467","e","false",1,5
"5fec594488f057dbd3bdec07",0,"Test",90,3,29,"522","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",91,3,26,"543","w","false",0,5
"5fec594488f057dbd3bdec07",0,"Test",92,3,29,"762","e","true",0,4
"5fec594488f057dbd3bdec07",0,"Test",93,3,32,"797","e","false",1,3
"5fec594488f057dbd3bdec07",0,"Test",94,3,32,"289","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",95,3,29,"793","e","true",0,5
"5fec594488f057dbd3bdec07",0,"Test",96,3,32,"1193","w","false",0,3
"5fec594488f057dbd3bdec07",0,"Test",97,3,35,"747","w","true",1,4
"5fec594488f057dbd3bdec07",0,"Test",98,3,35,"920","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",99,3,32,"862","w","true",1,3
"5fec594488f057dbd3bdec07",0,"Test",100,3,32,"541","e","false",1,1
"5fec594488f057dbd3bdec07",0,"Test",101,3,29,"513","w","true",1,6
"5fec594488f057dbd3bdec07",0,"Test",102,3,29,"538","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",103,3,26,"675","w","false",0,3
"5fec594488f057dbd3bdec07",0,"Test",104,3,29,"743","e","true",0,1
"5fec594488f057dbd3bdec07",0,"Test",105,3,32,"508","w","true",1,5
"5fec594488f057dbd3bdec07",0,"Test",106,3,32,"460","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",107,3,29,"408","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",108,3,29,"613","w","true",1,1
"5fec594488f057dbd3bdec07",0,"Test",109,3,26,"334","e","false",1,6
"5fec594488f057dbd3bdec07",0,"Test",110,3,26,"896","e","true",0,4
"67806a2cfa790bea4d4dc92d",1,"Test",27,2,26,"528","w","true",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",28,2,26,"499","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",29,2,23,"484","w","true",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",30,2,23,"980","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",31,2,21,"711","w","false",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",32,2,23,"850","w","true",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",33,2,23,"824","e","true",0,4
"67806a2cfa790bea4d4dc92d",1,"Test",34,2,26,"1577","e","false",1,3
"67806a2cfa790bea4d4dc92d",1,"Test",35,2,26,"687","w","true",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",36,2,23,"657","e","false",1,3
"67806a2cfa790bea4d4dc92d",1,"Test",37,2,23,"590","w","true",1,3
"67806a2cfa790bea4d4dc92d",1,"Test",38,2,21,"596","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",39,2,21,"1439","w","true",1,2
"67806a2cfa790bea4d4dc92d",1,"Test",40,2,19,"647","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",41,2,19,"437","e","true",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",42,2,21,"648","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",43,2,21,"879","e","true",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",44,2,23,"1694","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",45,2,23,"415","w","false",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",46,2,26,"594","e","true",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",47,2,29,"1084","w","true",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",48,2,29,"473","w","false",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",49,2,32,"877","e","true",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",50,2,35,"600","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",51,2,35,"932","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",52,2,32,"303","w","true",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",53,2,32,"424","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",54,2,29,"474","e","true",0,6
"67806a2cfa790bea4d4dc92d",1,"Test",55,2,32,"393","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",56,2,32,"448","w","true",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",57,2,29,"463","w","true",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",58,2,29,"550","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",59,2,26,"356","w","true",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",60,2,26,"550","w","false",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",61,2,29,"952","w","true",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",62,2,29,"380","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",63,2,26,"337","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",64,2,26,"761","w","true",1,3
"67806a2cfa790bea4d4dc92d",1,"Test",65,2,23,"321","w","true",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",66,2,23,"379","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",67,2,21,"550","w","true",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",68,2,21,"475","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",69,3,19,"1059","e","true",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",70,3,21,"397","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",71,3,21,"382","e","false",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",72,3,19,"239","w","true",1,3
"67806a2cfa790bea4d4dc92d",1,"Test",73,3,19,"335","e","true",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",74,3,21,"934","w","false",0,4
"67806a2cfa790bea4d4dc92d",1,"Test",75,3,23,"515","e","true",0,5
"67806a2cfa790bea4d4dc92d",1,"Test",76,3,26,"335","e","false",1,6
"67806a2cfa790bea4d4dc92d",1,"Test",77,3,26,"655","w","true",1,4
"67806a2cfa790bea4d4dc92d",1,"Test",78,3,23,"370","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",79,3,23,"356","e","false",1,5
"67806a2cfa790bea4d4dc92d",1,"Test",80,3,21,"379","w","true",1,6
